basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,csdoClsfNm
202208,남성,40대,2014,부산광역시 해운대구,46,도매 및 상품 중개업,0명,폐업
202208,남성,40대,2010,서울특별시 강남구,71,전문 서비스업,0명,폐업
202208,남성,30대,2012,서울특별시 강남구,46,도매 및 상품 중개업,0명,폐업
202208,남성,50대,1993,서울특별시 강동구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,여성,40대,2012,서울특별시 강서구,47,소매업; 자동차 제외,0명,폐업
202208,남성,30대,2010,서울특별시 광진구,47,소매업; 자동차 제외,1명 이상 5명 미만,폐업
202208,남성,40대,2011,서울특별시 광진구,47,소매업; 자동차 제외,0명,폐업
202208,남성,40대,2019,서울특별시 금천구,47,소매업; 자동차 제외,1명 이상 5명 미만,폐업
202208,여성,40대,2014,서울특별시 서대문구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,40대,2012,서울특별시 성동구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,40대,2010,서울특별시 성북구,47,소매업; 자동차 제외,5명 이상 10명 미만,폐업
202208,남성,40대,2011,서울특별시 송파구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,남성,40대,2010,서울특별시 송파구,46,도매 및 상품 중개업,0명,폐업
202208,남성,50대,2018,서울특별시 영등포구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,30대,2012,서울특별시 용산구,47,소매업; 자동차 제외,0명,폐업
202208,여성,40대,2013,서울특별시 은평구,47,소매업; 자동차 제외,0명,폐업
202208,여성,40대,2010,서울특별시 종로구,46,도매 및 상품 중개업,0명,폐업
202208,남성,60대,2021,서울특별시 중랑구,10,식료품 제조업,0명,폐업
202208,여성,60대,2020,서울특별시 중랑구,56,음식점 및 주점업,0명,폐업
202208,남성,50대,2012,세종특별자치시,47,소매업; 자동차 제외,1명 이상 5명 미만,폐업
202208,남성,50대,2016,울산광역시 남구,45,자동차 및 부품 판매업,0명,폐업
202208,남성,50대,2017,울산광역시 남구,45,자동차 및 부품 판매업,0명,폐업
202208,여성,50대,2021,울산광역시 남구,96,기타 개인 서비스업,0명,폐업
202208,남성,40대,2022,울산광역시 남구,56,음식점 및 주점업,0명,폐업
202208,여성,60대,2021,울산광역시 남구,56,음식점 및 주점업,1명 이상 5명 미만,폐업
202208,남성,40대,2012,울산광역시 남구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,50대,2016,울산광역시 남구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,40대,2021,울산광역시 남구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,여성,50대,2011,울산광역시 남구,96,기타 개인 서비스업,0명,폐업
202208,여성,60대,2007,울산광역시 남구,45,자동차 및 부품 판매업,0명,폐업
202208,여성,40대,2021,울산광역시 남구,96,기타 개인 서비스업,0명,폐업
202208,남성,40대,2021,울산광역시 남구,56,음식점 및 주점업,0명,폐업
202208,남성,40대,2012,울산광역시 남구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,40대,2021,울산광역시 남구,56,음식점 및 주점업,1명 이상 5명 미만,폐업
202208,여성,60대,2020,울산광역시 남구,45,자동차 및 부품 판매업,0명,폐업
202208,남성,60대,2022,울산광역시 남구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,여성,50대,2017,울산광역시 동구,56,음식점 및 주점업,0명,폐업
202208,남성,30대,2021,울산광역시 동구,56,음식점 및 주점업,0명,폐업
202208,여성,50대,2020,울산광역시 동구,56,음식점 및 주점업,0명,폐업
202208,남성,30대,2018,울산광역시 북구,45,자동차 및 부품 판매업,0명,폐업
202208,남성,60대,1994,울산광역시 북구,30,자동차 및 트레일러 제조업,1명 이상 5명 미만,폐업
202208,남성,50대,2022,울산광역시 북구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,40대,2020,울산광역시 울주군,96,기타 개인 서비스업,0명,폐업
202208,여성,30대,2013,울산광역시 울주군,56,음식점 및 주점업,0명,폐업
202208,여성,40대,2012,울산광역시 울주군,96,기타 개인 서비스업,0명,폐업
202208,남성,30대,2021,울산광역시 울주군,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,여성,50대,2021,울산광역시 울주군,56,음식점 및 주점업,0명,폐업
202208,여성,50대,2020,울산광역시 중구,45,자동차 및 부품 판매업,0명,폐업
202208,여성,60대,1998,울산광역시 중구,45,자동차 및 부품 판매업,0명,폐업
202208,남성,40대,2018,울산광역시 중구,45,자동차 및 부품 판매업,0명,폐업
202208,남성,40대,2019,울산광역시 중구,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,여성,40대,2020,울산광역시 중구,56,음식점 및 주점업,0명,폐업
202208,남성,40대,2013,울산광역시 중구,45,자동차 및 부품 판매업,0명,폐업
202208,남성,40대,2010,인천광역시 남동구,86,보건업,0명,폐업
202208,남성,30대,2011,인천광역시 남동구,46,도매 및 상품 중개업,0명,폐업
202208,여성,50대,2017,인천광역시 남동구,56,음식점 및 주점업,0명,폐업
202208,남성,40대,2011,인천광역시 부평구,45,자동차 및 부품 판매업,1명 이상 5명 미만,폐업
202208,여성,30세 미만,2020,인천광역시 서구,96,기타 개인 서비스업,0명,폐업
202208,남성,40대,2010,인천광역시 연수구,45,자동차 및 부품 판매업,1명 이상 5명 미만,폐업
202208,남성,40대,2012,인천광역시 연수구,46,도매 및 상품 중개업,0명,폐업
202208,남성,60대,2010,전라남도 광양시,45,자동차 및 부품 판매업,0명,폐업
202208,남성,60대,1995,전라북도 군산시,25,금속가공제품 제조업; 기계 및 가구 제외,1명 이상 5명 미만,폐업
202208,남성,40대,2012,전라북도 부안군,46,도매 및 상품 중개업,10명 이상 30명 미만,폐업
202208,여성,50대,2006,전라북도 익산시,45,자동차 및 부품 판매업,0명,폐업
202208,여성,40대,2021,전라북도 익산시,56,음식점 및 주점업,0명,폐업
202208,여성,40대,2008,전라북도 익산시,45,자동차 및 부품 판매업,0명,폐업
202208,여성,60대,2001,전라북도 전주시 덕진구,46,도매 및 상품 중개업,5명 이상 10명 미만,폐업
202208,여성,30대,2018,전라북도 전주시 완산구,45,자동차 및 부품 판매업,0명,폐업
202208,여성,40대,2012,제주특별자치도 제주시,47,소매업; 자동차 제외,0명,폐업
202208,남성,30대,2019,충청남도 공주시,47,소매업; 자동차 제외,1명 이상 5명 미만,폐업
202208,남성,50대,2016,충청남도 당진시,25,금속가공제품 제조업; 기계 및 가구 제외,1명 이상 5명 미만,폐업
202208,여성,40대,2016,충청남도 아산시,96,기타 개인 서비스업,0명,폐업
202208,남성,60대,1998,충청남도 천안시 동남구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
