basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,fnafBasYr,cptlAmt,saleAmt,bzopPftAmt,crtmNpfAmt,astTsumAmt,debtTsumAmt
202208,남성,40대,2008,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2020,45000000,756000000,92000000,86000000,87000000,42000000
202208,남성,50대,2001,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,22000000,827000000,22000000,30000000,316000000,294000000
202208,남성,40대,2008,강원도 강릉시,42,전문직별 공사업,0명,2017,33000000,292000000,41000000,44000000,47000000,14000000
202208,남성,40대,2014,강원도 강릉시,42,전문직별 공사업,1명 이상 5명 미만,2019,148000000,342000000,24000000,26000000,205000000,57000000
202208,남성,50대,2015,강원도 강릉시,47,소매업; 자동차 제외,0명,2020,181000000,1096000000,9000000,0,841000000,470000000
202208,남성,40대,2016,강원도 강릉시,86,보건업,1명 이상 5명 미만,2019,83000000,330000000,77000000,67000000,444000000,361000000
202208,남성,60대,2014,강원도 강릉시,10,식료품 제조업,10명 이상 30명 미만,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,남성,50대,2000,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,181000000,984000000,99000000,86000000,434000000,87000000
202208,남성,50대,1992,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2020,181000000,173000000,19000000,0,825000000,455000000
202208,남성,60대,1995,강원도 강릉시,56,음식점 및 주점업,0명,2018,181000000,217000000,31000000,14000000,461000000,203000000
202208,여성,50대,2006,강원도 강릉시,10,식료품 제조업,0명,2020,0,1096000000,99000000,86000000,841000000,524000000
202208,남성,50대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,23000000,684000000,34000000,34000000,32000000,9000000
202208,여성,60대,2010,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2021,81000000,582000000,44000000,48000000,841000000,524000000
202208,남성,50대,2002,강원도 강릉시,10,식료품 제조업,0명,2016,0,63000000,6000000,6000000,178000000,226000000
202208,여성,40대,2015,강원도 강릉시,56,음식점 및 주점업,0명,2020,80000000,1095000000,99000000,86000000,323000000,243000000
202208,남성,50대,2000,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,181000000,325000000,37000000,29000000,776000000,510000000
202208,남성,70대,2010,강원도 강릉시,47,소매업; 자동차 제외,0명,2020,50000000,1096000000,57000000,25000000,841000000,524000000
202208,남성,40대,2005,강원도 강릉시,47,소매업; 자동차 제외,0명,2021,36000000,582000000,25000000,33000000,36000000,0
202208,남성,40대,2009,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,181000000,1096000000,99000000,86000000,841000000,183000000
202208,남성,50대,2016,강원도 강릉시,10,식료품 제조업,5명 이상 10명 미만,2020,181000000,229000000,-20000000,5000000,271000000,2000000
202208,남성,50대,1997,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,26000000,341000000,13000000,13000000,67000000,41000000
202208,남성,40대,2018,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,21000000,1096000000,0,86000000,694000000,524000000
202208,남성,50대,2014,강원도 강릉시,56,음식점 및 주점업,5명 이상 10명 미만,2020,181000000,1096000000,99000000,86000000,841000000,524000000
202208,남성,50대,2013,강원도 강릉시,46,도매 및 상품 중개업,0명,2019,2000000,727000000,28000000,23000000,67000000,65000000
202208,남성,50대,2010,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,86000000,561000000,51000000,38000000,722000000,524000000
202208,여성,60대,2002,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2020,77000000,1096000000,37000000,20000000,440000000,363000000
202208,여성,40대,2016,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,181000000,1096000000,99000000,86000000,618000000,373000000
202208,남성,70대,1998,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2020,181000000,181000000,69000000,28000000,841000000,524000000
202208,남성,50대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2020,27000000,279000000,25000000,27000000,35000000,8000000
202208,남성,40대,2005,강원도 강릉시,46,도매 및 상품 중개업,0명,2017,181000000,639000000,41000000,40000000,313000000,1000000
202208,여성,60대,2008,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,29000000,509000000,-13000000,23000000,56000000,27000000
202208,남성,40대,2013,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,135000000,480000000,20000000,23000000,140000000,5000000
202208,남성,50대,2006,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,168000000,885000000,99000000,86000000,407000000,239000000
202208,남성,50대,2005,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2017,173000000,1096000000,93000000,77000000,670000000,497000000
202208,여성,60대,1985,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,93000000,1080000000,28000000,26000000,97000000,4000000
202208,여성,40대,1999,강원도 강릉시,46,도매 및 상품 중개업,0명,2019,61000000,221000000,14000000,12000000,100000000,39000000
202208,남성,60대,1996,강원도 강릉시,45,자동차 및 부품 판매업,1명 이상 5명 미만,2019,93000000,379000000,21000000,25000000,113000000,20000000
202208,남성,50대,2008,강원도 강릉시,95,개인 및 소비용품 수리업,5명 이상 10명 미만,2018,181000000,592000000,62000000,80000000,561000000,132000000
202208,남성,50대,2012,강원도 강릉시,47,소매업; 자동차 제외,0명,2016,0,787000000,23000000,28000000,18000000,1000000
202208,남성,50대,2014,강원도 강릉시,45,자동차 및 부품 판매업,1명 이상 5명 미만,2021,181000000,650000000,57000000,43000000,473000000,205000000
202208,남성,30대,2010,강원도 강릉시,56,음식점 및 주점업,5명 이상 10명 미만,2018,55000000,1096000000,99000000,86000000,69000000,14000000
202208,남성,40대,2012,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2019,181000000,813000000,47000000,55000000,372000000,9000000
202208,남성,40대,2010,강원도 강릉시,73,기타 전문  과학 및 기술 서비스업,0명,2020,181000000,286000000,47000000,34000000,841000000,524000000
202208,여성,40대,2009,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,154000000,315000000,22000000,23000000,155000000,1000000
202208,남성,50대,2010,강원도 강릉시,86,보건업,10명 이상 30명 미만,2020,181000000,1096000000,99000000,86000000,841000000,524000000
202208,여성,60대,2008,강원도 강릉시,47,소매업; 자동차 제외,0명,2020,60000000,588000000,53000000,63000000,117000000,57000000
202208,남성,40대,2011,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,25000000,367000000,23000000,24000000,70000000,45000000
202208,남성,60대,2013,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2017,181000000,724000000,58000000,57000000,512000000,113000000
202208,남성,50대,2011,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2020,181000000,1096000000,78000000,86000000,841000000,524000000
202208,남성,50대,2004,강원도 강릉시,10,식료품 제조업,1명 이상 5명 미만,2021,181000000,1094000000,61000000,62000000,840000000,524000000
202208,남성,50대,1998,강원도 강릉시,45,자동차 및 부품 판매업,0명,2018,50000000,267000000,21000000,18000000,107000000,57000000
202208,남성,50대,1998,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2016,0,553000000,23000000,23000000,12000000,4000000
202208,남성,50대,2017,강원도 강릉시,86,보건업,5명 이상 10명 미만,2020,181000000,860000000,99000000,86000000,841000000,524000000
202208,남성,60대,2000,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2020,181000000,1096000000,99000000,86000000,508000000,278000000
202208,남성,50대,2014,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,13000000,771000000,31000000,31000000,16000000,3000000
202208,남성,60대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,69000000,1096000000,82000000,69000000,417000000,348000000
202208,남성,40대,2017,강원도 강릉시,10,식료품 제조업,0명,2021,128000000,1096000000,83000000,63000000,841000000,524000000
202208,남성,50대,1996,강원도 강릉시,42,전문직별 공사업,1명 이상 5명 미만,2020,181000000,503000000,17000000,6000000,504000000,60000000
202208,남성,50대,2013,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,43000000,944000000,47000000,40000000,80000000,37000000
202208,남성,60대,2012,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2020,137000000,1096000000,99000000,86000000,841000000,524000000
202208,여성,60대,2014,강원도 강릉시,10,식료품 제조업,0명,2020,50000000,368000000,41000000,24000000,201000000,151000000
202208,남성,40대,2005,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,9000000,179000000,-24000000,-24000000,116000000,107000000
202208,여성,50대,2017,강원도 강릉시,47,소매업; 자동차 제외,0명,2019,2000000,824000000,30000000,37000000,108000000,107000000
202208,남성,50대,2008,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2020,181000000,1096000000,99000000,86000000,841000000,524000000
202208,남성,60대,1999,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,43000000,178000000,15000000,17000000,46000000,3000000
202208,남성,40대,2020,강원도 강릉시,42,전문직별 공사업,1명 이상 5명 미만,2021,20000000,481000000,20000000,20000000,21000000,1000000
202208,남성,50대,2017,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,여성,60대,2001,강원도 강릉시,10,식료품 제조업,10명 이상 30명 미만,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,남성,40대,2017,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,90000000,1096000000,47000000,47000000,367000000,277000000
202208,남성,50대,2018,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,86000000,726000000,68000000,61000000,377000000,291000000
202208,여성,40대,2008,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,10000000,227000000,8000000,8000000,81000000,71000000
202208,남성,60대,2003,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2017,125000000,741000000,99000000,86000000,141000000,16000000
202208,남성,50대,2014,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,66000000,1010000000,10000000,20000000,156000000,90000000
202208,남성,50대,2012,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,42000000,225000000,15000000,16000000,43000000,1000000
202208,남성,50대,2001,강원도 강릉시,95,개인 및 소비용품 수리업,1명 이상 5명 미만,2021,36000000,258000000,49000000,28000000,707000000,524000000
202208,남성,60대,1997,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,181000000,279000000,26000000,13000000,436000000,7000000
202208,남성,50대,2001,강원도 강릉시,95,개인 및 소비용품 수리업,1명 이상 5명 미만,2021,36000000,258000000,49000000,28000000,707000000,524000000
202208,남성,60대,1996,강원도 강릉시,10,식료품 제조업,1명 이상 5명 미만,2020,181000000,1096000000,99000000,86000000,834000000,350000000
202208,남성,50대,2012,강원도 강릉시,46,도매 및 상품 중개업,0명,2019,110000000,1033000000,84000000,86000000,111000000,1000000
202208,남성,50대,2007,강원도 강릉시,86,보건업,1명 이상 5명 미만,2020,4000000,393000000,99000000,86000000,463000000,459000000
202208,남성,50대,2000,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,167000000,770000000,32000000,40000000,263000000,96000000
202208,남성,40대,2016,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,23000000,1096000000,88000000,85000000,766000000,524000000
202208,남성,40대,2018,강원도 강릉시,86,보건업,5명 이상 10명 미만,2019,181000000,299000000,70000000,61000000,598000000,400000000
202208,남성,40대,2011,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2021,127000000,1096000000,99000000,86000000,352000000,225000000
202208,남성,50대,2005,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2017,30000000,1096000000,60000000,1000000,841000000,524000000
202208,남성,60대,1989,강원도 강릉시,46,도매 및 상품 중개업,0명,2019,67000000,426000000,28000000,17000000,180000000,113000000
202208,남성,60대,2017,강원도 강릉시,10,식료품 제조업,1명 이상 5명 미만,2019,37000000,558000000,36000000,30000000,49000000,12000000
202208,남성,50대,2014,강원도 강릉시,10,식료품 제조업,10명 이상 30명 미만,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,남성,60대,2000,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,127000000,1002000000,39000000,35000000,299000000,172000000
202208,남성,50대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,181000000,333000000,22000000,21000000,389000000,31000000
202208,남성,50대,2002,강원도 강릉시,86,보건업,100명 이상,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,남성,50대,2003,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,62000000,1096000000,61000000,51000000,608000000,524000000
202208,여성,30대,2017,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,181000000,1096000000,99000000,86000000,402000000,170000000
202208,여성,40대,2013,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,12000000,347000000,12000000,15000000,13000000,1000000
202208,남성,50대,2011,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,95000000,1096000000,17000000,20000000,207000000,112000000
202208,남성,40대,2011,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,33000000,324000000,37000000,38000000,35000000,2000000
202208,남성,60대,2003,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,45000000,1096000000,87000000,86000000,572000000,524000000
202208,남성,40대,2005,강원도 강릉시,46,도매 및 상품 중개업,0명,2021,31000000,461000000,25000000,23000000,585000000,524000000
202208,여성,50대,2015,강원도 강릉시,46,도매 및 상품 중개업,0명,2019,34000000,258000000,11000000,14000000,35000000,1000000
202208,여성,50대,1999,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2018,76000000,829000000,99000000,86000000,100000000,24000000
202208,남성,40대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,114000000,1096000000,42000000,43000000,115000000,1000000
202208,남성,60대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,99000000,533000000,49000000,43000000,130000000,31000000
202208,남성,30대,2017,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,181000000,901000000,65000000,69000000,385000000,0
202208,남성,50대,2009,강원도 강릉시,46,도매 및 상품 중개업,0명,2019,55000000,583000000,59000000,55000000,121000000,66000000
202208,남성,50대,1997,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2017,19000000,191000000,30000000,25000000,37000000,18000000
202208,남성,50대,2017,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,119000000,1096000000,99000000,86000000,291000000,172000000
202208,남성,40대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,181000000,1096000000,88000000,86000000,716000000,21000000
202208,남성,60대,1994,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,181000000,1096000000,99000000,79000000,841000000,524000000
202208,여성,60대,2004,강원도 강릉시,10,식료품 제조업,0명,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,남성,50대,1997,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,66000000,326000000,28000000,29000000,168000000,102000000
202208,남성,70대,1993,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,172000000,545000000,35000000,27000000,283000000,111000000
202208,남성,30대,2010,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,134000000,1096000000,46000000,42000000,216000000,82000000
202208,남성,50대,2002,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2018,181000000,529000000,99000000,77000000,458000000,86000000
202208,남성,40대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,25000000,279000000,25000000,21000000,137000000,112000000
202208,남성,30대,2018,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2020,111000000,746000000,54000000,72000000,138000000,27000000
202208,남성,50대,2004,강원도 강릉시,45,자동차 및 부품 판매업,1명 이상 5명 미만,2018,10000000,146000000,8000000,10000000,26000000,16000000
202208,남성,40대,2015,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,37000000,1024000000,48000000,48000000,218000000,181000000
202208,남성,40대,2015,강원도 강릉시,10,식료품 제조업,0명,2021,15000000,582000000,40000000,45000000,109000000,94000000
202208,여성,60대,2011,강원도 강릉시,10,식료품 제조업,5명 이상 10명 미만,2020,181000000,1096000000,99000000,86000000,453000000,28000000
202208,남성,50대,2016,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2019,74000000,561000000,27000000,26000000,77000000,3000000
202208,남성,30대,2019,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,53000000,1096000000,99000000,86000000,656000000,524000000
202208,남성,40대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,50000000,640000000,50000000,51000000,204000000,154000000
202208,남성,50대,2018,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,181000000,1096000000,76000000,86000000,841000000,467000000
202208,남성,40대,2013,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,81000000,302000000,17000000,18000000,88000000,7000000
202208,남성,60대,2013,강원도 강릉시,46,도매 및 상품 중개업,0명,2017,0,723000000,73000000,72000000,1000000,38000000
202208,남성,40대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,94000000,1096000000,35000000,37000000,134000000,40000000
202208,남성,40대,1998,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,181000000,641000000,32000000,34000000,218000000,20000000
202208,남성,50대,2012,강원도 강릉시,10,식료품 제조업,0명,2019,110000000,1033000000,84000000,86000000,111000000,1000000
202208,남성,50대,1998,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,181000000,1096000000,95000000,74000000,598000000,299000000
202208,남성,40대,2012,강원도 강릉시,47,소매업; 자동차 제외,0명,2016,178000000,705000000,67000000,68000000,178000000,0
202208,남성,40대,2012,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,47000000,546000000,19000000,21000000,169000000,122000000
202208,남성,50대,2012,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,57000000,1096000000,85000000,65000000,437000000,380000000
202208,남성,50대,2012,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,74000000,636000000,23000000,21000000,149000000,75000000
202208,남성,40대,2011,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,3000000,456000000,18000000,17000000,358000000,355000000
202208,남성,60대,1998,강원도 강릉시,45,자동차 및 부품 판매업,0명,2017,48000000,160000000,99000000,86000000,166000000,118000000
202208,남성,60대,1997,강원도 강릉시,56,음식점 및 주점업,0명,2017,99000000,754000000,99000000,86000000,107000000,9000000
202208,여성,50대,2014,강원도 강릉시,56,음식점 및 주점업,0명,2019,0,1096000000,41000000,57000000,135000000,138000000
202208,여성,40대,2014,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2017,111000000,719000000,61000000,60000000,268000000,157000000
202208,여성,60대,2002,강원도 강릉시,96,기타 개인 서비스업,10명 이상 30명 미만,2021,78000000,431000000,-141000000,-223000000,841000000,524000000
202208,남성,50대,2004,강원도 강릉시,47,소매업; 자동차 제외,0명,2013,19000000,185000000,24000000,19000000,77000000,58000000
202208,남성,50대,1994,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2018,24000000,262000000,21000000,22000000,26000000,2000000
202208,남성,50대,2009,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,26000000,1096000000,35000000,69000000,186000000,160000000
202208,남성,60대,2004,강원도 강릉시,45,자동차 및 부품 판매업,0명,2015,10000000,794000000,57000000,62000000,111000000,101000000
202208,여성,60대,2004,강원도 강릉시,10,식료품 제조업,1명 이상 5명 미만,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,여성,50대,2014,강원도 강릉시,47,소매업; 자동차 제외,0명,2016,94000000,705000000,47000000,32000000,456000000,361000000
202208,남성,50대,2014,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,4000000,734000000,61000000,59000000,179000000,175000000
202208,여성,60대,1982,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,0,667000000,71000000,46000000,642000000,524000000
202208,여성,60대,2002,강원도 강릉시,45,자동차 및 부품 판매업,1명 이상 5명 미만,2021,181000000,1096000000,99000000,86000000,841000000,524000000
202208,여성,50대,2017,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,0,1096000000,76000000,86000000,24000000,24000000
202208,남성,40대,2002,강원도 강릉시,95,개인 및 소비용품 수리업,1명 이상 5명 미만,2021,181000000,1042000000,92000000,83000000,577000000,321000000
202208,남성,40대,2018,강원도 강릉시,86,보건업,0명,2019,181000000,299000000,70000000,61000000,598000000,400000000
202208,남성,40대,2016,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,84000000,530000000,20000000,27000000,93000000,9000000
202208,남성,50대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,181000000,1096000000,76000000,58000000,655000000,442000000
202208,여성,50대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,181000000,1096000000,58000000,44000000,352000000,124000000
202208,남성,50대,2004,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2019,181000000,1096000000,99000000,86000000,463000000,178000000
202208,남성,50대,2009,강원도 강릉시,42,전문직별 공사업,0명,2019,116000000,418000000,99000000,86000000,121000000,5000000
202208,남성,50대,1997,강원도 강릉시,86,보건업,5명 이상 10명 미만,2019,95000000,207000000,91000000,86000000,95000000,0
202208,남성,50대,2003,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,62000000,1096000000,61000000,51000000,608000000,524000000
202208,남성,50대,2017,강원도 강릉시,86,보건업,10명 이상 30명 미만,2020,181000000,1096000000,99000000,86000000,841000000,214000000
202208,남성,40대,2015,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,181000000,441000000,6000000,6000000,528000000,50000000
202208,남성,60대,1991,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,181000000,1096000000,98000000,85000000,798000000,524000000
202208,여성,60대,1989,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,16000000,110000000,9000000,10000000,16000000,0
202208,남성,70대,1996,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2014,181000000,587000000,0,0,841000000,144000000
202208,남성,50대,1989,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,181000000,1096000000,99000000,86000000,841000000,386000000
202208,남성,40대,2014,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2017,0,583000000,55000000,58000000,63000000,106000000
202208,남성,50대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2017,63000000,625000000,59000000,61000000,66000000,3000000
202208,남성,50대,2000,강원도 강릉시,10,식료품 제조업,1명 이상 5명 미만,2020,0,634000000,38000000,29000000,88000000,373000000
202208,남성,60대,2001,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,0,1096000000,99000000,86000000,702000000,524000000
202208,남성,50대,1999,강원도 강릉시,95,개인 및 소비용품 수리업,1명 이상 5명 미만,2020,19000000,773000000,70000000,74000000,171000000,152000000
202208,남성,50대,2018,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,25000000,396000000,61000000,61000000,25000000,0
202208,남성,50대,2001,강원도 강릉시,95,개인 및 소비용품 수리업,1명 이상 5명 미만,2020,49000000,343000000,39000000,45000000,52000000,3000000
202208,남성,50대,2006,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,81000000,495000000,59000000,60000000,281000000,200000000
202208,남성,40대,2001,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,48000000,1096000000,91000000,77000000,535000000,487000000
202208,남성,50대,2001,강원도 강릉시,45,자동차 및 부품 판매업,10명 이상 30명 미만,2017,181000000,1096000000,9000000,-9000000,841000000,524000000
202208,남성,40대,2018,강원도 강릉시,45,자동차 및 부품 판매업,1명 이상 5명 미만,2020,32000000,407000000,52000000,48000000,73000000,41000000
202208,여성,40대,2010,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2020,0,1095000000,99000000,86000000,223000000,518000000
