basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,fnafBasYr,debtTsumAmt
202208,남성,60대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,194000000
202208,남성,50대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2020,131000000
202208,남성,60대,2011,강원도 강릉시,96,기타 개인 서비스업,0명,2021,218000000
202208,여성,60대,2018,강원도 강릉시,56,음식점 및 주점업,0명,2021,79000000
202208,여성,60대,2017,강원도 강릉시,56,음식점 및 주점업,0명,2018,4000000
202208,남성,50대,2016,강원도 강릉시,42,전문직별 공사업,0명,2022,132000000
202208,여성,50대,2011,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,118000000
202208,남성,50대,2011,강원도 강릉시,45,자동차 및 부품 판매업,0명,2016,255000000
202208,여성,60대,2016,강원도 강릉시,56,음식점 및 주점업,0명,2022,22000000
202208,여성,50대,2014,강원도 강릉시,56,음식점 및 주점업,0명,2021,73000000
202208,여성,40대,2020,강원도 강릉시,56,음식점 및 주점업,0명,2022,41000000
202208,남성,50대,2001,강원도 강릉시,41,종합 건설업,0명,2021,123000000
202208,여성,60대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2020,52000000
202208,여성,50대,2005,강원도 강릉시,47,소매업; 자동차 제외,0명,2020,264000000
202208,남성,40대,2009,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,387000000
202208,남성,40대,2009,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,1000000
202208,남성,50대,2015,강원도 강릉시,42,전문직별 공사업,1명 이상 5명 미만,2018,100000000
202208,남성,40대,2017,강원도 강릉시,86,보건업,0명,2019,508000000
202208,여성,60대,2008,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,2000000
202208,남성,40대,2018,강원도 강릉시,86,보건업,5명 이상 10명 미만,2019,400000000
202208,남성,50대,2017,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,172000000
202208,남성,50대,1997,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2017,18000000
202208,남성,40대,2011,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2021,225000000
202208,남성,60대,2020,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,125000000
202208,남성,50대,2014,강원도 강릉시,41,종합 건설업,0명,2022,2000000
202208,여성,40대,2018,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,13000000
202208,여성,50대,2010,강원도 강릉시,56,음식점 및 주점업,0명,2022,103000000
202208,남성,30대,2013,강원도 강릉시,45,자동차 및 부품 판매업,0명,2014,10000000
202208,여성,40대,2018,강원도 강릉시,56,음식점 및 주점업,0명,2021,127000000
202208,남성,30대,2021,강원도 강릉시,56,음식점 및 주점업,0명,2022,23000000
202208,여성,50대,2017,강원도 강릉시,96,기타 개인 서비스업,0명,2021,2000000
202208,남성,60대,2017,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,134000000
202208,여성,60대,2017,강원도 강릉시,56,음식점 및 주점업,0명,2020,224000000
202208,남성,30대,2019,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,19000000
202208,여성,70대,2016,강원도 강릉시,56,음식점 및 주점업,0명,2020,65000000
202208,여성,60대,2010,강원도 강릉시,56,음식점 및 주점업,0명,2021,53000000
202208,남성,50대,2015,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,74000000
202208,남성,40대,2015,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,50000000
202208,여성,60대,2002,강원도 강릉시,96,기타 개인 서비스업,10명 이상 30명 미만,2021,524000000
202208,남성,50대,2004,강원도 강릉시,47,소매업; 자동차 제외,0명,2013,58000000
202208,남성,30대,2019,강원도 강릉시,96,기타 개인 서비스업,0명,2021,20000000
202208,남성,40대,2016,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,9000000
202208,남성,40대,2018,강원도 강릉시,86,보건업,0명,2019,400000000
202208,남성,40대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,154000000
202208,남성,40대,2002,강원도 강릉시,95,개인 및 소비용품 수리업,1명 이상 5명 미만,2021,321000000
202208,남성,30대,2021,강원도 강릉시,56,음식점 및 주점업,0명,2022,52000000
202208,남성,40대,2020,강원도 강릉시,42,전문직별 공사업,1명 이상 5명 미만,2021,1000000
202208,남성,40대,2003,강원도 강릉시,45,자동차 및 부품 판매업,0명,2017,327000000
202208,남성,50대,2018,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,291000000
202208,남성,30세 미만,2021,강원도 강릉시,56,음식점 및 주점업,0명,2022,10000000
202208,남성,60대,1998,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,147000000
202208,남성,40대,2017,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,277000000
202208,남성,50대,2014,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,90000000
202208,여성,40대,2020,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,50000000
202208,남성,50대,2017,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,524000000
202208,남성,60대,2003,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2017,16000000
202208,남성,50대,2016,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,7000000
202208,남성,50대,2001,강원도 강릉시,47,소매업; 자동차 제외,0명,2019,222000000
202208,여성,30대,2013,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,381000000
202208,여성,60대,2017,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,83000000
202208,여성,50대,1970,강원도 강릉시,96,기타 개인 서비스업,0명,2021,25000000
202208,남성,50대,2001,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,294000000
202208,남성,40대,2008,강원도 강릉시,42,전문직별 공사업,0명,2017,14000000
202208,여성,60대,2014,강원도 강릉시,10,식료품 제조업,0명,2020,151000000
202208,남성,50대,1996,강원도 강릉시,42,전문직별 공사업,1명 이상 5명 미만,2020,60000000
202208,남성,60대,2000,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2020,278000000
202208,남성,40대,2005,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,107000000
202208,남성,60대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,348000000
202208,남성,50대,2014,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,3000000
202208,남성,40대,2017,강원도 강릉시,10,식료품 제조업,0명,2021,524000000
202208,여성,30대,2017,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,170000000
202208,남성,50대,2002,강원도 강릉시,86,보건업,100명 이상,2021,524000000
202208,남성,50대,2003,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,524000000
202208,남성,50대,2008,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2020,524000000
202208,여성,40대,2017,강원도 강릉시,96,기타 개인 서비스업,0명,2020,41000000
202208,남성,50대,2017,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,54000000
202208,여성,60대,2018,강원도 강릉시,56,음식점 및 주점업,0명,2020,22000000
202208,남성,50대,2014,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2022,13000000
202208,여성,50대,2017,강원도 강릉시,47,소매업; 자동차 제외,0명,2019,107000000
202208,남성,60대,2012,강원도 강릉시,46,도매 및 상품 중개업,5명 이상 10명 미만,2020,524000000
202208,남성,60대,1998,강원도 강릉시,45,자동차 및 부품 판매업,1명 이상 5명 미만,2021,167000000
202208,남성,50대,2009,강원도 강릉시,94,협회 및 단체,0명,2010,15000000
202208,여성,50대,2016,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2022,140000000
202208,남성,50대,2015,강원도 강릉시,56,음식점 및 주점업,0명,2021,10000000
202208,여성,50대,2018,강원도 강릉시,56,음식점 및 주점업,0명,2021,51000000
202208,남성,60대,2016,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,38000000
202208,남성,30대,2017,강원도 강릉시,96,기타 개인 서비스업,0명,2019,26000000
202208,남성,40대,2021,강원도 강릉시,96,기타 개인 서비스업,0명,2022,107000000
202208,여성,40대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2019,14000000
202208,남성,60대,2003,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2021,20000000
202208,여성,30대,2017,강원도 강릉시,96,기타 개인 서비스업,0명,2022,344000000
202208,여성,50대,2001,강원도 강릉시,56,음식점 및 주점업,0명,2020,45000000
202208,남성,40대,2010,강원도 강릉시,96,기타 개인 서비스업,0명,2012,1000000
202208,남성,50대,2009,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,160000000
202208,남성,50대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,9000000
202208,여성,60대,2010,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2021,524000000
202208,남성,50대,1989,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,386000000
202208,남성,50대,2001,강원도 강릉시,95,개인 및 소비용품 수리업,1명 이상 5명 미만,2021,524000000
202208,남성,40대,2011,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,355000000
202208,남성,50대,2000,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2019,87000000
202208,여성,50대,2006,강원도 강릉시,10,식료품 제조업,0명,2020,524000000
202208,남성,50대,2018,강원도 강릉시,41,종합 건설업,0명,2021,402000000
202208,남성,50대,2003,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,524000000
202208,남성,40대,2009,강원도 강릉시,94,협회 및 단체,0명,2011,9000000
202208,남성,40대,2018,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,43000000
202208,여성,40대,2021,강원도 강릉시,96,기타 개인 서비스업,0명,2022,27000000
202208,남성,40대,2021,강원도 강릉시,96,기타 개인 서비스업,0명,2022,234000000
202208,남성,60대,2016,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,32000000
202208,남성,60대,2016,강원도 강릉시,42,전문직별 공사업,0명,2018,213000000
202208,여성,60대,2017,강원도 강릉시,56,음식점 및 주점업,0명,2020,102000000
202208,여성,50대,2019,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,4000000
202208,남성,40대,2012,강원도 강릉시,42,전문직별 공사업,0명,2020,256000000
202208,남성,50대,2021,강원도 강릉시,41,종합 건설업,0명,2022,35000000
202208,여성,40대,2014,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,101000000
202208,남성,50대,2018,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2021,44000000
202208,남성,40대,2021,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2022,138000000
202208,여성,60대,2019,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2022,39000000
202208,남성,50대,2017,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2018,161000000
202208,여성,70대,2009,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,60000000
202208,남성,50대,2016,강원도 강릉시,42,전문직별 공사업,0명,2019,164000000
202208,여성,50대,2014,강원도 강릉시,56,음식점 및 주점업,0명,2018,55000000
202208,남성,50대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2016,24000000
202208,남성,50대,2011,강원도 강릉시,95,개인 및 소비용품 수리업,5명 이상 10명 미만,2020,18000000
202208,남성,40대,2016,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,22000000
202208,여성,40대,1981,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,197000000
202208,여성,30대,2021,강원도 강릉시,96,기타 개인 서비스업,0명,2022,8000000
202208,남성,50대,2017,강원도 강릉시,56,음식점 및 주점업,0명,2018,51000000
202208,남성,30대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,32000000
202208,남성,30대,2015,강원도 강릉시,56,음식점 및 주점업,5명 이상 10명 미만,2020,524000000
202208,남성,40대,2011,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,2000000
202208,여성,40대,2013,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,1000000
202208,남성,40대,2014,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2017,106000000
202208,여성,40대,2018,강원도 강릉시,56,음식점 및 주점업,0명,2021,172000000
202208,여성,40대,2021,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,45000000
202208,남성,50대,2017,강원도 강릉시,56,음식점 및 주점업,0명,2018,31000000
202208,남성,50대,2018,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,163000000
202208,여성,50대,2010,강원도 강릉시,56,음식점 및 주점업,0명,2013,10000000
202208,남성,50대,2014,강원도 강릉시,96,기타 개인 서비스업,0명,2022,65000000
202208,여성,60대,2019,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,48000000
202208,여성,60대,2008,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2020,27000000
202208,남성,50대,1998,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2016,4000000
202208,남성,50대,1998,강원도 강릉시,45,자동차 및 부품 판매업,0명,2018,57000000
202208,남성,50대,2012,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,1000000
202208,남성,50대,2017,강원도 강릉시,86,보건업,5명 이상 10명 미만,2020,524000000
202208,남성,40대,2018,강원도 강릉시,96,기타 개인 서비스업,0명,2019,48000000
202208,남성,30대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2016,128000000
202208,남성,50대,2018,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,28000000
202208,남성,40대,2007,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,277000000
202208,남성,60대,2011,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2021,77000000
202208,남성,60대,1995,강원도 강릉시,56,음식점 및 주점업,0명,2018,203000000
202208,여성,50대,2005,강원도 강릉시,96,기타 개인 서비스업,0명,2010,9000000
202208,여성,60대,2013,강원도 강릉시,45,자동차 및 부품 판매업,0명,2019,5000000
202208,여성,40대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2020,25000000
202208,남성,50대,2016,강원도 강릉시,56,음식점 및 주점업,0명,2020,28000000
202208,여성,50대,2016,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,15000000
202208,남성,30대,2015,강원도 강릉시,96,기타 개인 서비스업,0명,2019,48000000
202208,남성,60대,2000,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2021,114000000
202208,남성,60대,2019,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2020,48000000
202208,남성,50대,2005,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2021,14000000
202208,여성,40대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2020,33000000
202208,남성,50대,2020,강원도 강릉시,94,협회 및 단체,0명,2021,45000000
202208,여성,40대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,163000000
202208,여성,60대,1999,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,172000000
202208,여성,40대,2015,강원도 강릉시,56,음식점 및 주점업,0명,2022,156000000
202208,남성,60대,2016,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2021,200000000
202208,남성,40대,2005,강원도 강릉시,46,도매 및 상품 중개업,0명,2017,1000000
202208,남성,50대,2021,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,15000000
202208,남성,50대,2019,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2021,68000000
202208,여성,40대,2010,강원도 강릉시,45,자동차 및 부품 판매업,0명,2014,17000000
202208,남성,50대,2002,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,320000000
202208,여성,40대,2016,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,373000000
202208,남성,50대,2000,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,127000000
202208,남성,60대,1992,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2021,524000000
202208,남성,40대,2016,강원도 강릉시,86,보건업,1명 이상 5명 미만,2019,361000000
202208,여성,50대,2016,강원도 강릉시,56,음식점 및 주점업,10명 이상 30명 미만,2019,137000000
202208,남성,40대,2016,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,134000000
202208,여성,60대,2002,강원도 강릉시,47,소매업; 자동차 제외,5명 이상 10명 미만,2020,363000000
202208,여성,50대,2014,강원도 강릉시,56,음식점 및 주점업,0명,2020,8000000
202208,여성,60대,2012,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,500000000
202208,남성,60대,2012,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2022,129000000
202208,남성,60대,2001,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,6000000
202208,남성,60대,2007,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2022,107000000
202208,남성,40대,2018,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,524000000
202208,여성,60대,2001,강원도 강릉시,10,식료품 제조업,10명 이상 30명 미만,2021,524000000
202208,여성,40대,2019,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,36000000
202208,여성,60대,1996,강원도 강릉시,96,기타 개인 서비스업,0명,2021,20000000
202208,남성,50대,2008,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,46000000
202208,남성,50대,2011,강원도 강릉시,96,기타 개인 서비스업,0명,2021,122000000
202208,남성,50대,2019,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2022,17000000
202208,남성,60대,1999,강원도 강릉시,47,소매업; 자동차 제외,0명,2018,3000000
202208,남성,40대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2020,5000000
202208,남성,40대,2008,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,207000000
202208,여성,40대,2008,강원도 강릉시,46,도매 및 상품 중개업,0명,2018,71000000
202208,남성,40대,2012,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,71000000
202208,남성,50대,2011,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2019,112000000
202208,남성,60대,2003,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2021,524000000
202208,남성,60대,2000,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2013,23000000
202208,남성,50대,2011,강원도 강릉시,45,자동차 및 부품 판매업,0명,2015,46000000
202208,여성,60대,2020,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,11000000
202208,남성,40대,2019,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,197000000
202208,남성,40대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,94000000
202208,남성,40대,2021,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,22000000
202208,여성,60대,2015,강원도 강릉시,45,자동차 및 부품 판매업,0명,2021,33000000
202208,여성,40대,2014,강원도 강릉시,56,음식점 및 주점업,0명,2021,95000000
202208,남성,50대,2018,강원도 강릉시,42,전문직별 공사업,0명,2020,28000000
202208,여성,70대,2010,강원도 강릉시,56,음식점 및 주점업,0명,2014,4000000
202208,여성,60대,2010,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,13000000
202208,남성,50대,2007,강원도 강릉시,47,소매업; 자동차 제외,1명 이상 5명 미만,2018,480000000
202208,남성,40대,2005,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,14000000
202208,남성,40대,2016,강원도 강릉시,56,음식점 및 주점업,0명,2018,45000000
202208,남성,60대,2002,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2021,43000000
202208,남성,50대,2013,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,45000000
202208,여성,50대,2010,강원도 강릉시,96,기타 개인 서비스업,0명,2013,15000000
202208,남성,40대,2021,강원도 강릉시,56,음식점 및 주점업,0명,2022,11000000
202208,여성,50대,2008,강원도 강릉시,56,음식점 및 주점업,0명,2020,33000000
202208,여성,50대,2016,강원도 강릉시,45,자동차 및 부품 판매업,0명,2017,19000000
202208,남성,50대,2014,강원도 강릉시,10,식료품 제조업,10명 이상 30명 미만,2021,524000000
202208,남성,60대,2000,강원도 강릉시,46,도매 및 상품 중개업,0명,2020,172000000
202208,남성,50대,2012,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,50000000
202208,여성,50대,2016,강원도 강릉시,45,자동차 및 부품 판매업,0명,2020,107000000
202208,남성,30대,2018,강원도 강릉시,56,음식점 및 주점업,0명,2021,85000000
202208,여성,40대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2022,25000000
202208,여성,50대,2013,강원도 강릉시,96,기타 개인 서비스업,0명,2014,15000000
202208,여성,50대,2016,강원도 강릉시,56,음식점 및 주점업,0명,2017,31000000
202208,남성,40대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2020,23000000
202208,여성,60대,2009,강원도 강릉시,45,자동차 및 부품 판매업,0명,2022,41000000
202208,남성,60대,2004,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,31000000
202208,남성,40대,2007,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,1000000
202208,남성,50대,2012,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2018,75000000
202208,남성,50대,1997,강원도 강릉시,47,소매업; 자동차 제외,0명,2017,102000000
202208,여성,60대,2004,강원도 강릉시,10,식료품 제조업,0명,2021,524000000
202208,남성,50대,2016,강원도 강릉시,10,식료품 제조업,5명 이상 10명 미만,2020,2000000
202208,남성,50대,1999,강원도 강릉시,45,자동차 및 부품 판매업,1명 이상 5명 미만,2018,53000000
202208,남성,70대,2010,강원도 강릉시,47,소매업; 자동차 제외,0명,2020,524000000
202208,남성,60대,2011,강원도 강릉시,56,음식점 및 주점업,1명 이상 5명 미만,2018,3000000
202208,남성,40대,2016,강원도 강릉시,46,도매 및 상품 중개업,1명 이상 5명 미만,2020,81000000
202208,남성,50대,2016,강원도 강릉시,46,도매 및 상품 중개업,0명,2021,30000000
202208,여성,40대,2019,강원도 강릉시,56,음식점 및 주점업,0명,2021,44000000
202208,여성,60대,2010,강원도 강릉시,56,음식점 및 주점업,0명,2019,56000000
202208,여성,40대,2013,강원도 강릉시,96,기타 개인 서비스업,0명,2021,75000000
202208,남성,50대,2013,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2022,196000000
202208,남성,40대,2018,강원도 강릉시,56,음식점 및 주점업,0명,2019,20000000
202208,남성,30대,2016,강원도 강릉시,96,기타 개인 서비스업,0명,2020,10000000
202208,남성,50대,2002,강원도 강릉시,49,육상 운송 및 파이프라인 운송업,0명,2018,86000000
202208,남성,40대,2015,강원도 강릉시,10,식료품 제조업,0명,2021,94000000
